Year,polio_cases,polio_deaths
1910,5861,950
1911,1931,440
1913,1934,421
1914,1220,329
1915,1634,691
1916,27363,7130
1917,4082,1182
1918,2493,960
1919,1932,747
1920,2325,769
1921,6266,1597
1922,2222,790
1923,3266,850
1924,5199,1079
1925,5926,1492
1926,2528,851
1927,10533,2013
1928,5113,1381
1929,2837,812
1930,9188,1370
1931,15790,2096
1932,3778,828
1933,4983,797
1934,7519,852
1935,10839,1040
1936,4523,780
1937,9511,1433
1938,1712,478
1939,7343,756
1940,9826,1004
1941,9086,
1942,4033,
1943,12449,1115
1944,19029,1433
1945,13619,1189
1946,25191,1845
1947,10734,580
1948,27680,2140
1949,42033,2720
1950,33300,1904
1951,28386,1551
1952,57879,3145
1953,35592,1450
1954,38476,1368
1955,28985,1043
1956,15140,566
1957,5485,221
1958,5787,255
1959,8425,454
1960,3190,230
1961,1312,90
1962,910,60
1963,449,41
1964,122,17
1965,72,16
1966,133,9
1967,41,16
1968,53,24
1969,20,13
1970,33,7
1971,21,18
1972,31,2
1973,8,10
1974,7,3
1975,8,9
1976,14,16
1977,18,16
1978,15,13
1979,34,4
1980,9,6
1981,6,0
1982,8,0
1983,15,3
1984,8,0
1985,7,0
1986,8,0
1987,6,0
1988,9,1
1989,5,0
1990,7,0
1991,8,1
1992,4,0
1993,4,0
1994,8,0
1995,6,0
1996,5,0
1997,5,0
1998,1,0
1999,2,0
2000,0,0
2001,0,
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,1,
2010,0,
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0